Symbol,Date,Close
UNL,10/15/2018,23000
UNL,10/14/2018,22531
UNL,9/30/2018,24304
UNL,9/20/2018,24799
UNL,9/11/2018,24663
UNL,9/10/2018,24190
UNL,9/6/2018,23716
UNL,9/5/2018,23152
UNL,9/3/2018,24000
UNL,8/23/2018,22573
UNL,8/21/2018,23501
UNL,8/20/2018,23965
UNL,8/19/2018,23496
UNL,8/16/2018,23975
UNL,8/14/2018,22594
UNL,8/12/2018,23060
UNL,8/7/2018,24300
UNL,8/5/2018,24500
UNL,7/30/2018,25000
UNL,7/29/2018,25000
UNL,7/10/2018,25000
UNL,7/8/2018,25800
UNL,7/5/2018,25403
UNL,7/3/2018,26400
UNL,7/2/2018,26000
UNL,6/28/2018,25900
UNL,6/27/2018,25950
UNL,6/26/2018,26479
UNL,6/17/2018,27019
UNL,6/14/2018,27570
UNL,6/7/2018,26500
UNL,6/6/2018,26500
UNL,6/3/2018,26500
UNL,5/31/2018,25472
UNL,5/28/2018,25989
UNL,5/16/2018,25480
UNL,5/8/2018,26000
UNL,5/3/2018,26000
UNL,5/2/2018,26200
UNL,4/17/2018,26692
UNL,4/12/2018,26169
UNL,4/11/2018,25666
UNL,4/10/2018,25163
UNL,4/5/2018,26500
UNL,4/4/2018,26000
UNL,4/3/2018,25637
UNL,4/2/2018,24643
UNL,4/1/2018,25145
UNL,3/28/2018,25145
UNL,3/26/2018,24651
UNL,3/22/2018,25677
UNL,3/21/2018,26211
UNL,3/20/2018,24701
UNL,3/18/2018,25163
UNL,3/15/2018,25676
UNL,3/14/2018,26200
UNL,3/13/2018,26200
UNL,3/12/2018,26800
UNL,3/11/2018,26700
UNL,3/7/2018,27244
UNL,2/28/2018,27800
UNL,2/26/2018,27440
UNL,2/22/2018,27966
UNL,2/20/2018,27418
UNL,2/18/2018,27977
UNL,2/15/2018,27988
UNL,2/12/2018,27440
UNL,2/8/2018,28000
UNL,1/28/2018,28000
UNL,1/23/2018,28000
UNL,1/21/2018,28311
UNL,1/17/2018,27756
UNL,1/14/2018,27756
UNL,1/10/2018,28322
UNL,1/3/2018,28900
UNL,1/1/2018,28501
UNL,12/31/2017,28500
UNL,12/28/2017,28200
UNL,12/24/2017,28200
UNL,12/19/2017,28800
UNL,12/13/2017,28600
